priority,area,subarea,kind,year,title,authors,local_path,source_url,pdf_url,notes
"P1","theory","auxiliary-mass-flow","code-archive","2022","AMFlow CPC package archive","Xiao Liu; Yan-Qing Ma","snapshots/amflow/amflow-cpc-archive.url","https://data.mendeley.com/datasets/nrkrw83bw5/1","","Publication-tied archive"
"P0","theory","auxiliary-mass-flow","paper","2024","Analytic auxiliary mass flow to compute master integrals in singular kinematics","Gaia Fontana; Thomas Gehrmann; Kay Schonwald","theory/auxiliary-mass-flow/2024-2401.08226-singular-kinematics-amf.pdf","https://arxiv.org/abs/2401.08226","https://arxiv.org/pdf/2401.08226.pdf","Highest-priority singular-limit follow-on paper"
"P0","theory","series-solvers","paper","2025","LINE: Loop Integrals Numerical Evaluation","Renato Maria Prisco; Jonathan Ronca; Francesco Tramontano","theory/series-solvers/2025-2501.01943-line.pdf","https://arxiv.org/abs/2501.01943","https://arxiv.org/pdf/2501.01943.pdf","Closest independent C++ comparator"
"P0","ibp","kira","paper","2017","Kira - A Feynman integral reduction program","Philipp Maierhoefer; Johann Usovitsch; Peter Uwer","ibp/kira/2017-1705.05610-kira.pdf","https://arxiv.org/abs/1705.05610","https://arxiv.org/pdf/1705.05610.pdf","Baseline Kira architecture"
"P0","ibp","kira","paper","2020","Integral reduction with Kira 2.0 and finite field methods","Jonas Klappert; Fabian Lange; Philipp Maierhofer; Johann Usovitsch","ibp/kira/2020-2008.06494-kira2.pdf","https://arxiv.org/abs/2008.06494","https://arxiv.org/pdf/2008.06494.pdf","Finite-field and FireFly integration"
"P0","ibp","kira","paper","2025","Kira 3: integral reduction with efficient seeding and optimized equation selection","Fabian Lange; Johann Usovitsch; Zihao Wu","ibp/kira/2025-2505.20197-kira3.pdf","https://arxiv.org/abs/2505.20197","https://arxiv.org/pdf/2505.20197.pdf","Current Kira algorithm paper"
"P1","ibp","kira","doc-snapshot","2026","Kira README","kira maintainers","snapshots/kira/README.rst","https://gitlab.com/kira-pyred/kira/-/raw/master/README.rst","","Build surface and dependency matrix"
"P1","ibp","kira","doc-snapshot","2026","Kira ChangeLog","kira maintainers","snapshots/kira/ChangeLog.md","https://gitlab.com/kira-pyred/kira/-/raw/master/ChangeLog.md","","Track feature changes"
"P1","ibp","kira","doc-snapshot","2026","Kira job options summary","kira maintainers","snapshots/kira/job_options_summary.txt","https://gitlab.com/kira-pyred/kira/-/raw/master/job_options_summary","","Current YAML option surface"
"P0","ibp","fire","paper","2019","FIRE6: Feynman Integral REduction with modular arithmetic","Alexander V. Smirnov; Fedor S. Chukharev","ibp/fire/2019-1901.07808-fire6.pdf","https://arxiv.org/abs/1901.07808","https://arxiv.org/pdf/1901.07808.pdf","Main FIRE modular-arithmetic reference"
"P0","ibp","fire","paper","2023","FIRE 6.5: Feynman integral reduction with new simplification library","Alexander V. Smirnov; Mao Zeng","ibp/fire/2023-2311.02370-fire6.5.pdf","https://arxiv.org/abs/2311.02370","https://arxiv.org/pdf/2311.02370.pdf","FUEL and pluggable simplifier architecture"
"P1","ibp","fire","paper","2023","Rational Function Simplification for Integration-by-Parts Reduction and Beyond","Kirill S. Mokrov; Alexander V. Smirnov; Mao Zeng","ibp/fire/2023-2304.13418-fuel.pdf","https://arxiv.org/abs/2304.13418","https://arxiv.org/pdf/2304.13418.pdf","FUEL abstraction layer"
"P1","ibp","fire","doc-snapshot","2026","FIRE README","FIRE maintainers","snapshots/fire/README.md","https://gitlab.com/feynmanIntegrals/fire/-/raw/master/README.md","","Build flags and doc pointers"
"P1","ibp","fire","doc-snapshot","2026","FIRE CHANGELOG","FIRE maintainers","snapshots/fire/CHANGELOG.md","https://gitlab.com/feynmanIntegrals/fire/-/raw/master/CHANGELOG.md","","Track 6.5+ changes"
"P1","ibp","fire","doc-snapshot","2026","FIRE documentation README","FIRE maintainers","snapshots/fire/documentation-README","https://gitlab.com/feynmanIntegrals/fire/-/raw/master/FIRE6/documentation/README","","Generated-doc entry point"
"P0","ibp","litered","paper","2012","Presenting LiteRed: a tool for the Loop InTEgrals REDuction","Roman N. Lee","ibp/litered/2012-1212.2685-litered.pdf","https://arxiv.org/abs/1212.2685","https://arxiv.org/pdf/1212.2685.pdf","Original LiteRed description"
"P0","ibp","litered","paper","2013","LiteRed 1.4: a powerful tool for reduction of multiloop integrals","Roman N. Lee","ibp/litered/2013-1310.1145-litered-1.4.pdf","https://arxiv.org/abs/1310.1145","https://arxiv.org/pdf/1310.1145.pdf","Mature LiteRed capability map"
"P1","ibp","litered","doc-snapshot","2026","LiteRed official site snapshot","Roman N. Lee","snapshots/litered/litered-home.html","https://www.inp.nsk.su/~lee/programs/LiteRed/","","Official release/site snapshot"
"P0","ibp","blade","paper","2024","Blade: A package for block-triangular form improved Feynman integrals decomposition","Xin Guan; Xiao Liu; Yan-Qing Ma; Wen-Hao Wu","ibp/blade/2024-2405.14621-blade.pdf","https://arxiv.org/abs/2405.14621","https://arxiv.org/pdf/2405.14621.pdf","Same-group reduction mathematics"
"P0","finite-fields","foundations","paper","2016","Scattering amplitudes over finite fields and multivariate functional reconstruction","Tiziano Peraro","finite-fields/foundations/2016-peraro-scattering-amplitudes-over-finite-fields.pdf","https://link.springer.com/article/10.1007/JHEP12(2016)030","https://link.springer.com/content/pdf/10.1007/JHEP12(2016)030.pdf","Foundational reconstruction algorithms"
"P0","finite-fields","finiteflow","paper","2019","FiniteFlow: multivariate functional reconstruction using finite fields and dataflow graphs","Tiziano Peraro","finite-fields/finiteflow/2019-1905.08019-finiteflow.pdf","https://arxiv.org/abs/1905.08019","https://arxiv.org/pdf/1905.08019.pdf","Primary finite-field framework reference"
"P1","finite-fields","finiteflow","doc-snapshot","2026","FiniteFlow README","Tiziano Peraro","snapshots/finiteflow/README.md","https://github.com/peraro/finiteflow/raw/master/README.md","","Build surface and tutorial pointer"
"P1","finite-fields","finiteflow","doc-snapshot","2026","FiniteFlow MathTools README","Tiziano Peraro","snapshots/finiteflow/finiteflow-mathtools-README.md","https://github.com/peraro/finiteflow-mathtools/raw/master/README.md","","Mathematica-side helper layer"
"P0","finite-fields","firefly","paper","2019","Reconstructing Rational Functions with FireFly","Jonas Klappert; Fabian Lange","finite-fields/firefly/2019-1904.00009-firefly.pdf","https://arxiv.org/abs/1904.00009","https://arxiv.org/pdf/1904.00009.pdf","Original FireFly paper"
"P0","finite-fields","firefly","paper","2020","Interpolation of Dense and Sparse Rational Functions and other Improvements in FireFly","Jonas Klappert; Sven Yannick Klein; Fabian Lange","finite-fields/firefly/2020-2004.01463-firefly-improvements.pdf","https://arxiv.org/abs/2004.01463","https://arxiv.org/pdf/2004.01463.pdf","Improved interpolation layer"
"P1","finite-fields","firefly","doc-snapshot","2026","FireFly README","FireFly maintainers","snapshots/firefly/README.md","https://gitlab.com/firefly-library/firefly/-/raw/kira-2/README.md","","Current build and API surface"
"P0","theory","differential-equations","paper","1997","Differential Equations for Feynman Graph Amplitudes","Ettore Remiddi","theory/differential-equations/1997-hep-th-9711188-remiddi.pdf","https://arxiv.org/abs/hep-th/9711188","https://arxiv.org/pdf/hep-th/9711188.pdf","Classical DE foundation"
"P0","theory","differential-equations","paper","1999","Differential Equations for Two-Loop Four-Point Functions","Thomas Gehrmann; Ettore Remiddi","theory/differential-equations/1999-hep-ph-9912329-gehrmann-remiddi.pdf","https://arxiv.org/abs/hep-ph/9912329","https://arxiv.org/pdf/hep-ph/9912329.pdf","Classic multiscale DE reference"
"P0","theory","differential-equations","paper","2013","Multiloop integrals in dimensional regularization made simple","Johannes M. Henn","theory/differential-equations/2013-1304.1806-henn-canonical-basis.pdf","https://arxiv.org/abs/1304.1806","https://arxiv.org/pdf/1304.1806.pdf","Canonical basis paper"
"P0","theory","differential-equations","paper","2014","Reducing differential equations for multiloop master integrals","Roman N. Lee","theory/differential-equations/2015-1411.0911-lee-epsilon-form.pdf","https://arxiv.org/abs/1411.0911","https://arxiv.org/pdf/1411.0911.pdf","Epsilon-form reduction"
"P0","theory","boundaries-and-regions","paper","1997","Asymptotic expansion of Feynman integrals near threshold","Martin Beneke; Vladimir A. Smirnov","theory/boundaries-and-regions/1997-hep-ph-9711391-expansion-by-regions.pdf","https://arxiv.org/abs/hep-ph/9711391","https://arxiv.org/pdf/hep-ph/9711391.pdf","Boundary-at-infinity theory support"
"P1","theory","boundaries-and-regions","paper","2019","On the status of expansion by regions","Tatiana Yu. Semenova; Alexander V. Smirnov; Vladimir A. Smirnov","theory/boundaries-and-regions/2019-status-of-expansion-by-regions.url","https://doi.org/10.1140/epjc/s10052-019-6653-3","","Modern regions-status review"
"P0","theory","series-solvers","paper","2018","Solving differential equations for Feynman integrals by expansions near singular points","Roman N. Lee; Alexander V. Smirnov; Vladimir A. Smirnov","theory/series-solvers/2018-1709.07525-smirnov-lee-singular-points.pdf","https://arxiv.org/abs/1709.07525","https://arxiv.org/pdf/1709.07525.pdf","Local series-expansion solver for non-canonical systems"
"P0","theory","series-solvers","paper","2018","Evaluating multi-loop Feynman integrals numerically through differential equations","Manoj K. Mandal; Xiaoran Zhao","theory/series-solvers/2019-1812.03060-numerical-des.pdf","https://arxiv.org/abs/1812.03060","https://arxiv.org/pdf/1812.03060.pdf","Numerical DE solver reference"
"P0","theory","series-solvers","paper","2020","DiffExp, a Mathematica package for computing Feynman integrals in terms of one-dimensional series expansions","Martijn Hidding","theory/series-solvers/2020-2006.05510-diffexp.pdf","https://arxiv.org/abs/2006.05510","https://arxiv.org/pdf/2006.05510.pdf","Series-expansion DE solver"
"P0","theory","analytic-continuation-and-singularities","paper","2022","Evaluation of Feynman integrals with arbitrary complex masses via series expansions","Tommaso Armadillo; Roberto Bonciani; Simone Devoto; Narayan Rana; Alessandro Vicini","theory/analytic-continuation-and-singularities/2022-2205.03345-seasyde.pdf","https://arxiv.org/abs/2205.03345","https://arxiv.org/pdf/2205.03345.pdf","Complex-mass continuation and physical-region issues"
"P1","theory","analytic-continuation-and-singularities","paper","2021","Duals of Feynman integrals. Part I. Differential equations","Simon Caron-Huot; Andrzej Pokraka","theory/analytic-continuation-and-singularities/2021-2104.06898-duals-part1.pdf","https://arxiv.org/abs/2104.06898","https://arxiv.org/pdf/2104.06898.pdf","Contour/basis perspective"
"P0","theory","precision-and-error-control","paper","2017","DREAM, a program for arbitrary-precision computation of dimensional recurrence relations solutions, and its applications","Roman N. Lee; Alexander V. Smirnov; Vladimir A. Smirnov","theory/precision-and-error-control/2017-1712.05173-dream.pdf","https://arxiv.org/abs/1712.05173","https://arxiv.org/pdf/1712.05173.pdf","Arbitrary-precision discipline reference"
"P1","deps","numeric","doc-snapshot","2026","MPFR home snapshot","MPFR maintainers","snapshots/numeric/mpfr-home.html","https://www.mpfr.org/","","Arbitrary-precision float reference"
"P1","deps","numeric","doc-snapshot","2026","FLINT home snapshot","FLINT maintainers","snapshots/numeric/flint-home.html","https://flintlib.org/","","Finite-field and ball arithmetic substrate"
"P1","deps","numeric","doc-snapshot","2026","Boost.Multiprecision docs snapshot","Boost maintainers","snapshots/numeric/boost-multiprecision-index.html","https://original.boost.org/doc/libs/1_89_0/libs/multiprecision/doc/html/index.html","","C++ precision interface options"
"P1","deps","numeric","doc-snapshot","2026","rug docs snapshot","rug maintainers","snapshots/numeric/rug-docs.html","https://docs.rs/rug/latest/rug/","","Rust arbitrary-precision binding surface"
"P1","case-studies","direct-use","paper","2023","Two-loop master integrals for a planar topology contributing to pp -> ttbar j","Simon Badger; Matteo Becchetti; Ekta Chaubey; Robin Marzucca","case-studies/papers/2023-ttj-planar-topology.pdf","https://doi.org/10.1007/JHEP01(2023)156","https://link.springer.com/content/pdf/10.1007/JHEP01(2023)156.pdf","Uses AMFlow for boundary values"
"P1","case-studies","direct-use","paper","2023","Two-loop master integrals for a planar and a non-planar topology relevant for single top production","Nikolaos Syrrakos","case-studies/papers/2023-single-top-planar-nonplanar-topologies.pdf","https://doi.org/10.1007/JHEP05(2023)131","https://link.springer.com/content/pdf/10.1007/JHEP05(2023)131.pdf","Checks against AMFlow and pySecDec"
"P1","case-studies","direct-use","paper","2023","Two-loop form factors for diphoton production in quark annihilation channel with heavy quark mass dependence","Matteo Becchetti; Roberto Bonciani; Leandro Cieri; Federico Coro; Federico Ripani","case-studies/papers/2023-diphoton-heavy-quark-form-factors.pdf","https://doi.org/10.1007/JHEP12(2023)105","https://link.springer.com/content/pdf/10.1007/JHEP12(2023)105.pdf","Reports agreement up to 200 digits"
"P1","case-studies","direct-use","paper","2024","All Two-Loop Feynman Integrals for Five-Point One-Mass Scattering","Samuel Abreu; Dmitry Chicherin; Harald Ita; Ben Page; Vladimir Sotnikov; Wladimir Tschernow; Simone Zoia","case-studies/papers/2024-five-point-one-mass-scattering.pdf","https://doi.org/10.1103/PhysRevLett.132.141601","https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.132.141601","Strong singular-surface stress test"
"P1","case-studies","direct-use","paper","2024","Two-loop master integrals for leading-color pp -> ttbar H amplitudes with a light-quark loop","F. Febres Cordero; G. Figueiredo; Manfred Kraus; Ben Page; Laura Reina","case-studies/papers/2024-tth-light-quark-loop-mi.pdf","https://doi.org/10.1007/JHEP07(2024)084","https://link.springer.com/content/pdf/10.1007/JHEP07(2024)084.pdf","Uses AMFlow for 100-digit values"
"P1","case-studies","direct-use","paper","2024","Analytic decay width of the Higgs boson to massive bottom quarks at NNLO in QCD","Jian Wang; Yefan Wang; Dajiang Zhang","case-studies/papers/2024-h-to-bb-nnlo.pdf","https://doi.org/10.1007/JHEP03(2024)068","https://link.springer.com/content/pdf/10.1007/JHEP03(2024)068.pdf","Reports over 200-digit agreement in checks"
"P1","case-studies","direct-use","paper","2024","A high-precision result for a full-color three-loop three-point form factor in N=4 SYM","Xin Guan; Guanda Lin; Xiao Liu; Yan-Qing Ma; Gang Yang","case-studies/papers/2024-n4-sym-three-loop-form-factor.pdf","https://doi.org/10.1007/JHEP02(2024)201","https://link.springer.com/content/pdf/10.1007/JHEP02(2024)201.pdf","Very-high-precision checkpoint"
"P1","case-studies","direct-use","paper","2025","Two-loop Feynman integrals for leading colour ttbar W production at hadron colliders","Matteo Becchetti; Dhimiter D. Canko; Vsevolod Chestnov; Tiziano Peraro; Mattia Pozzoli; Simone Zoia","case-studies/papers/2025-ttw-leading-colour-integrals.pdf","https://doi.org/10.1007/JHEP07(2025)001","https://link.springer.com/content/pdf/10.1007/JHEP07(2025)001.pdf","Physical-region and elliptic-sector benchmark"
"P1","case-studies","benchmarks","note","2026","Selected AMFlow benchmarks","curated","case-studies/selected-benchmarks.md","","","Human-curated downstream targets"
"P1","case-studies","citations","data","2026","AMFlow citation snapshot from OpenAlex","generated","case-studies/amflow-citations-openalex.tsv","","","Machine-readable citation landscape"
